idx,title,rank_99,rank_85,rank_50,rank_by_inbound_links,pr_50,pr_85,pr_99,N_inbound_links,N_outbound_links,link
608,Elementarer vorhersagbarer stochastischer Prozess,638,711,793,641,0.0005228286017717847,0.0002811642908360605,0.00014313493177557193,5,10,/wiki/Elementarer_vorhersagbarer_stochastischer_Prozess
634,Linksstetiger Prozess,635,712,819,724,0.0005159912526788268,0.00028071279184910687,0.00014368119778893356,4,6,/wiki/Linksstetiger_Prozess
209,Gérard Ben Arous,819,713,608,833,0.0005746941990700196,0.0002805343144935826,6.630417199685095e-05,3,3,/wiki/G%C3%A9rard_Ben_Arous
864,Gelman-Rubin-Statistik,835,714,618,833,0.000572738248520844,0.0002790179203840561,6.0150850770358e-05,3,2,/wiki/Gelman-Rubin-Statistik
1120,Positiv rekurrente Markow-Kette,756,715,790,499,0.0005231015071795131,0.0002783164503710758,8.994035107715577e-05,7,11,/wiki/Positiv_rekurrente_Markow-Kette
883,Partieller Korrelationskoeffizient,929,716,543,641,0.0006055593821915101,0.0002780144527933874,3.520897264230802e-05,5,4,/wiki/Partieller_Korrelationskoeffizient
478,Minimalsuffizienz,660,717,817,567,0.0005162858482280387,0.00027794398968610824,0.0001322520364440157,6,9,/wiki/Minimalsuffizienz
612,Euler-Maruyama-Verfahren,665,718,799,567,0.0005216264123928085,0.00027765040320052787,0.0001265466345235979,6,11,/wiki/Euler-Maruyama-Verfahren
310,Ashkan Nikeghbali,707,719,751,969,0.0005240686247005317,0.00027764495968169225,0.00011054681660739692,2,5,/wiki/Ashkan_Nikeghbali
604,Brownsches Blatt,731,720,716,724,0.0005339846558351575,0.000277328709117983,9.907411330133001e-05,4,5,/wiki/Brownsches_Blatt
294,Alain-Sol Sznitman,960,721,556,833,0.0005965433814882757,0.00027672734844404027,2.893987850501421e-05,3,3,/wiki/Alain-Sol_Sznitman
514,Verteilungsfreiheit,686,722,717,499,0.0005334745028298399,0.00027642346535068293,0.0001206373327046383,7,11,/wiki/Verteilungsfreiheit
1127,Transiente Markow-Kette,773,723,800,641,0.0005212421716737659,0.00027635472152634977,8.394271811505321e-05,5,11,/wiki/Transiente_Markow-Kette
157,Satz von de Finetti,516,724,1008,969,0.00046434085987630074,0.0002761167879494151,0.00024269373757913372,2,7,/wiki/Satz_von_de_Finetti
1053,Bonferroni-Korrektur,826,725,640,641,0.0005644632174863321,0.00027608033040842024,6.432252648337203e-05,5,9,/wiki/Bonferroni-Korrektur
895,T-Statistik,749,726,711,499,0.0005359664869750773,0.0002759057596682011,9.16796884768348e-05,7,10,/wiki/T-Statistik
295,Boris Tsirelson,867,727,557,641,0.0005953301228822949,0.0002748041907039086,5.1747972766535845e-05,5,6,/wiki/Boris_Tsirelson
718,Ausfallkredithöhe,958,728,572,724,0.0005912818211712159,0.0002745809213128291,2.905881900464596e-05,4,6,/wiki/Ausfallkredith%C3%B6he
1000,L-Unverfälschtheit,779,729,683,408,0.0005469583094675884,0.00027404605523103916,8.182692662057358e-05,9,11,/wiki/L-Unverf%C3%A4lschtheit
677,Ununterscheidbare stochastische Prozesse,692,730,688,641,0.0005447508218188956,0.0002738213264725054,0.00011839331637840858,5,7,/wiki/Ununterscheidbare_stochastische_Prozesse
803,Dickey-Fuller-Test,841,731,647,408,0.0005617931541302517,0.0002728475938453968,5.9100990615485244e-05,9,16,/wiki/Dickey-Fuller-Test
191,Symbolsequenz,989,732,579,969,0.0005891594658287731,0.00027191975345938345,2.3104292777596178e-05,2,3,/wiki/Symbolsequenz
190,Symbolische Dynamik,989,732,579,969,0.0005891594658287731,0.00027191975345938345,2.3104292777596178e-05,2,3,/wiki/Symbolische_Dynamik
607,Drunkard’s Walk,797,734,713,724,0.0005349892941832604,0.0002718062746385477,7.386575501926392e-05,4,5,/wiki/Drunkard%E2%80%99s_Walk
